model,class,weather,baseline_iou,weighted_iou,delta_iou
SegFormer-B2,person,snow,0.6639939444953435,0.6014048558378936,-0.06258908865744994
SegFormer-B2,rider,all,0.5887432326180444,0.5673958737138052,-0.021347358904239222
SegFormer-B2,rider,fog,0.5720731841123546,0.529235021933778,-0.04283816217857661
SegFormer-B2,rider,lowlight,0.7055024817206597,0.6172577879669409,-0.0882446937537188
SegFormer-B2,rider,rain,0.6350487002915813,0.6152652683446175,-0.01978343194696386
SegFormer-B2,rider,snow,0.1758430577531645,0.2572880978590246,0.08144504010586012
SegFormer-B2,road,all,0.9244466269939664,0.9018391548385518,-0.022607472155414587
SegFormer-B2,road,fog,0.975917491828406,0.96454906878734,-0.011368423041066
SegFormer-B2,road,lowlight,0.913602919246161,0.8730552773428554,-0.04054764190330562
SegFormer-B2,road,rain,0.8897405223496817,0.8707185655254437,-0.019021956824238018
SegFormer-B2,road,snow,0.8521078525111695,0.7860686854713642,-0.06603916703980528
SegFormer-B2,sidewalk,all,0.46264171994206,0.3682006330654979,-0.09444108687656211
SegFormer-B2,sidewalk,fog,0.7302591965048381,0.4036687353549614,-0.32659046114987667
SegFormer-B2,sidewalk,lowlight,0.4410161633880466,0.4116531495055362,-0.02936301388251039
SegFormer-B2,sidewalk,rain,0.1777435194701381,0.1704735376044568,-0.007269981865681313
SegFormer-B2,sidewalk,snow,,0.0,
SegFormer-B2,traffic light,all,0.3778557534612304,0.2605389414598069,-0.11731681200142352
SegFormer-B2,traffic light,fog,0.2007805724197745,0.2065217391304347,0.005741166710660189
SegFormer-B2,traffic light,lowlight,0.2515917422342272,0.2292507851054284,-0.0223409571287988
SegFormer-B2,traffic light,rain,0.467425718460789,0.2760585899221208,-0.19136712853866822
SegFormer-B2,traffic light,snow,,,
SegFormer-B2,traffic sign,all,0.5628714729839748,0.5117918959812447,-0.051079577002730026
SegFormer-B2,traffic sign,fog,0.5648228748769965,0.5098439166118647,-0.05497895826513177
SegFormer-B2,traffic sign,lowlight,0.5018030404211022,0.4715384276812606,-0.030264612739841656
SegFormer-B2,traffic sign,rain,0.2909086190340245,0.3345125715213977,0.0436039524873732
SegFormer-B2,traffic sign,snow,0.7469102688427177,0.6539202457632153,-0.09299002307950244
SegFormer-B2,truck,all,0.5616865161753049,0.5031928813254835,-0.058493634849821396
SegFormer-B2,truck,fog,0.8488266701496495,0.8095728073980963,-0.03925386275155318
SegFormer-B2,truck,lowlight,0.6288064441858191,0.492757564907642,-0.1360488792781771
SegFormer-B2,truck,rain,0.3820016258642715,0.3653945789988925,-0.016607046865379005
SegFormer-B2,truck,snow,0.3396466952563943,0.3042677905343215,-0.03537890472207278
